COUNTRY,Country,SERIES,Series,PERIOD,Pay period,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,7.7901394,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,8.0683387,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,8.0915782,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,8.2433425,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,8.2976441,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,8.3511777,,
CAN,Canada,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,8.48059,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,1.2879709,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,1.3363739,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,1.3748787,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,1.3938131,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,1.4327706,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,1.4602569,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,1.4979467,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,1.5248893,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,1.5232886,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,1.6231327,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,1.6647716,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,1.6922255,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,1.7402896,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,1.8348512,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,1.8862629,,
CHL,Chile,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,1.9372163,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,0.9571704,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,0.9748318,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,0.9903267,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,0.9932255,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,1.0113008,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,1.0258683,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,1.0519626,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,1.059484,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,1.0536723,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,1.0887412,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,1.1033318,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,1.1095728,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,1.1379363,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,1.1603153,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,1.1783179,,
COL,Colombia,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,1.1739683,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,1.7739808,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,1.8058809,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,1.7833454,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,1.7965194,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,1.7759157,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,1.7892263,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,1.8086215,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,1.8245433,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,1.8613414,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,1.8838528,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,1.9507334,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,1.9757278,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,2.0091875,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,2.0264942,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,2.0178416,,
CRI,Costa Rica,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,2.1382014,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,1.4444328,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,1.7469417,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,1.9371799,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,2.106111,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,2.1995079,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,2.3175439,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,2.4676818,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,2.4871316,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,2.3384382,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,2.3148412,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,2.2812447,,
CZE,Czech Republic,EXR,In 2017 constant prices at 2017 USD exchange rates,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,2.238331,,
